,reviews
196,"✅ Trip Verified |  I am a 67-year-old woman who was flying alone. My direct redeye flight was canceled and I was told it’s weather related so vouchers aren’t given. That became the least of my problems. My new American Airlines flight from JFK to CLT was fine. The second flight to RDU was canceled. I was unable to pull up my boarding pass for the next flight, so I stopped at a gate agent, handed him my license and told him my last name. He printed me a ticket. After many confusing texts from American Airlines about gate changes, I stopped at Customer Assist to get the correct gate. I handed my license and my paper ticket to her. She told me the gate. While on a full plane, I am approached by American Airlines staff who asked me my last name. I frantically try to get my license out. I am told I am sitting in another person seat. Their last name started with the same letters. Apparently, the agent that gave me the paper ticket never looked at my license, but upon hearing me state my name found this man’s ticket and issued it to me. I tried to explain through my panic and tears the situation. As I was escorted off the plane, humiliated and frantic, I apologized to the passengers whose flight I delayed. The gate agent at that area gave me my correct paper ticket although unsympathetic. I was then told my plane which was taking off in a few minutes and of course the gate was on the other side of the terminal. I ran through the crowds at the very large and spread out Charlotte airport. The gate agent there was the only one who showed me kindness after seeing my demeanor. This was not only unacceptable but unavoidable. I am writing this four days later and I am still upset over this experience."
197,"✅ Trip Verified |  My return flight home was delayed twelve hours for unplanned aircraft maintenance, which was barely mentioned by the attendant at the terminal - I instead found out via an email informing me of the delay 30 minutes before boarding was scheduled to begin. When I asked at the desk if I could cancel so I could catch a sooner flight with another airline that had actually working airplanes, they looked at me like it was absolutely absurd to consider they could help me with anything in person, and seemed offended that I was disturbing them from doing nothing at all, seeing as there was no flight leaving this terminal at this time now and they were just standing at the desk chatting with each other having a good time. I was told to take a seat pull out my laptop and figure out how to cancel the flight on my own through the website. Non-existent customer service."
198,"✅ Trip Verified |  I recently had a horrendous experience. My flight was delayed after I checked in at the airport which made me miss my connection. I had to stay in Nashville an additional night with no baggage. I then rebooked for the following day, with more delays. When I walk up to the gate I was told my gate changed and I cannot get on the last flight coming home. I finally escalated to a Supervisor who was able to assist me with getting on a plane. She was as rude as the gate agent and was very reluctant to help me. American Airlines really needs to up their customer service."
199,✅ Trip Verified |  American Airlines should be given an award for most consistently bad service. Our flight left 1 hour and 20 minutes late for reasons unknown and when I asked what time would we arrive because I had 50 minutes to take my next flight the flight attendant said I don’t know and could clearly care less. We arrived 1 hour and 15 minutes late which caused me to wait 5 hours for the next flight. I have experienced this many times with AA and their staff coudl care less. The only efficiency they have shown is to immediately take your money as soon as you book. As for the service they provide  it’s “ohwell your get their when we can”. I have given them way too many changes. From now on I will ensure never to take AA again.
200,"✅ Trip Verified |  Flight departed over 3 hours late causing me to miss connection to Australia. Ground staff were unhelpful and did not seem to care. This caused out of pocket expenses as I was re-routed via Sydney, instead of direct to Brisbane. As per AA Terms and Conditions, they will reimburse costs when delays are caused by them. I have been trying for over a month to get hold of AA to arrange refunds of added transport costs etc with no responses. Have emailed 5 times, rang their number in Australia, and told to email, tried to fill in an online form on AA website, without success (keeps crashing) and tried to call AA in America, however with 40 min plus wait times, was too expensive. Very frustrated as apart from the anxiety that the delays caused, they also put me out of pocket which by their own website they refund. Will not fly AA again, have had much better experiences with Delta"
201,"✅ Trip Verified | This is the worst experience ever. We will never fly this airline again. The flight was delayed, we then got on the plane only to be told to get off and the flight was delayed another 10 hours. To be rebooked on a flight that took us extra days to get to our destination and now we are dependent on vouchers for a hotel! "
202,"✅ Trip Verified | I will never again fly American Airlines. Customer service is absolutely terrible. These people sent me to the wrong gate number as a result I missed my flight. I had to wait 7 hours for the next flight. The worst thing about it is that they made me feel like it was my fault. Also, as Im waiting at the new gate with my luggage, an American Airlines employee came and took my bag when I got up to use the restroom. I was literally gone for 5 minutes. She said it was because it was unattended. Again, super rude about as If I was an idiot for leaving it for 5 minutes to use the restroom. Never again!"
203,"Not Verified |  Flight took off early and left my family of 6 and 8 other passengers. We were unable to get a flight out for 2 days!! We missed 2 days of vacation which we paid for. Our luggage was on the plane when it left so it was lost for 2 days. Return flight was horrible, first AA does not transfer your luggage through customs so we had to go to the baggage claim and wait 2.5 hours for our luggage to come. It was mixed with 2 other flights. Once we got our luggage we had to take it around the corner and had it back off to AA and then had to go back through security. So glad we had a 4 hour delay! Our plane was on the runway and ready to take off and then the captain comes on and said she has gone over her flight hours. We had to return to the terminal. AA said they were trying to find another pilot. We sat on the plane for 45 minutes and then had to exit the aircraft. our flight was scheduled for 9:45. It was delayed 6 times. We had to sleep on the floor at the airport. The flight didn't leave until 7:00 the next morning. The staff were so rude! I couldn't believe the way they treated the passengers. They wouldn't get you vouchers and said if we didn't stay at the airport we would not get on another flight until later that day or even the next day. Told us if we wanted to get our luggage off the plane it would take up to 3 hours to get it off. I will NEVER FLY AA AGAIN!! Please don't make the same mistake I did."
204,"Not Verified | The flight was supposed to depart to Doha at 8.45 pm. For some reason it was delayed until 12.30. At 12.30, they allowed passengers to board the flight. Once everyone was seated, there came an announcement that they cannot fly as some allowed time has crossed. All the passengers were asked to go back to the terminal. And every American Airlines staff left. One guy came and said AA cannot provide the accommodation as the delay was due to weather. Checked in baggages were not given back, no staff was available to rebook the flight/connection flight. No one had a clue on where the baggages were. What kind of company will just abandon their international passengers in the terminal and let them figure out things on their own? I have had bad experiences flying before but no one showed this level of arrogance and irresponsibility."
205,Not Verified |   I have flown on 6 AA flights since April 27th. Every single one was late by at least an hour. I am sitting in Charlotte now waiting to get on a flight to Raleigh. It is 1:45 late assuming it takes off. It is a miserable airline. It has been a miserable airline for years.
206,"Not Verified |   Writing this complaint because we missed our connecting flight from Monterey to Phoenix. Delayed in Monterey for close to an hour. Unknown reason for the delay, which put us in jeopardy for our connecting flight in Phoenix to get home to Pittsburgh. Got in Phoenix and off the plane by 3:25. Our connecting flight was for 3:40. Got to the gate by 3:30 and was told we were not allowed to get on the plane. It was an American flight to an American flight. Was not our fault that the connecting flight was delayed. Totally the airlines fault. We were at the gate 10 minutes before take off. Not to be allowed to board was ridiculous. Had to sit in Phoenix airport for 6 hours, catch a flight to Charlotte and not arrive there until 5:15 the next morning. 21/2 hour layover in Charlotte. Finally will get on board at 7:17 and arrive in Pittsburgh around 9:10. Miss an important doctor’s appointment scheduled for the next day. Needless to say, will never fly American Airlines again."
207,"✅ Trip Verified | Airline charges to check bags, so I packed accordingly to avoid the ridiculous fee. When getting on the plane I was required to check my bag. There was plenty of space in the over head bins, and it was an unnecessary trouble. The gate agent was also extremely rude. I hate this airline."
208,"Not Verified |   This has been one of the worst experiences I've had. First, the flight from Philadelphia to Miami was delayed, and now the one from Miami to the Dominican Republic is also delayed by more than 3 hours. And I haven't slept for 12 hours."
209,"Not Verified |   Past few flights I’ve taken in June with this airline have been horrendous. It all started with my honeymoon; delayed flight for 8+ hrs in Charlotte (overnight). A food voucher was offered after all food places were closed. Reason for delayed flight? “Short-staffed” - just to hear one of the employees say, “we don’t get paid anyway until we’re up in the air” ot wise to say in front of a group of people that just attempted to sleep at the boarding gate. Onto my trip from Boise-Dallas-Cleveland: taxied for 45 min after landing in Dallas with < 10 min to get to our gate. Mind you, my wife and I have yet to eat a meal. We rushed to get to our gate to find out that the plane hasn’t started boarding- great! Food! We are our food, and realized the boarding process has yet to begin still. 40 min later, the crew arrives with food in hand, leisurely walking. We’re grateful we got food and haven’t been waiting around for as long as the rest of this flight, but it’s still the principle of the matter. We almost missed out on getting food, yet the crew can take their time to get their food?"
210,"Not Verified |   On Friday June 14th, 2014 my family was coming home from the Bahamas to get to our hometown of Louisiana. Our stop was in Miami Airport. We were scheduled to leave Miami airport around 10:00 p.m. After we got off the plane from Nassau, we got to our terminal to take off to get on the next flight to New Orleans. However, when we go to the terminal, our flight was delayed because they did not have any flight attendants. After an hour, the pilots walked off the plane and went home and then they had no pilots to fly to plane. After 6 hours in the airport, our flight suddenly got cancelled. No flights were available until two days later. This was our first time ever flying and instead of waiting days in the airport like many others did, we decided to rent a vehicle and drive from Miami to Louisiana which was a 17 hour drive, plus no rest in two days. Instead of having a great experience, this was a nightmare that I will forever remember. The stress and burden american airlines put us through was horrible. Even worse, instead of offering us a bottle of water while we sat in the cold airport (no blankets offered), they gave us a small CUP of water for our pain and suffering. We will never fly with american airline again. "
211,"✅ Trip Verified |  Absolutely the worst flight I have had in 50 years. Multiple delays multiple gate changes. We ended up delayed seven hours in Phoenix and the staff just really didn’t care. They offered us a $12 food credit which was not enough money for almost anything and it was only good for the day we were there. They didn’t communicate anything to us until the last minute always and we ended up getting home the next day. I will pay more to avoid American in the future. I would give them an overall rating of zero if it was allowed. Horrible, horrible horrible"
212,"✅ Trip Verified |  This has been the worst flying experience I have ever had. American Airlines should be shutdown or they should start a new hiring campaign with new standard operating procedures. When I arrived at the Airport in Rome, Italy it was about 5-6am. I took a bus from Napoli to Rome to make my flight on time. I was exhausted with no sleep. In Orlando, FL American Airlines employees work 24/7. They change shifts and cover each other, as expect in any airport. After waiting 1 hour and 30 minutes for the gate to open, I was first in line at the american airline counter. First of all, I should have never gone to the counter. I should have been able to check-in ONLINE - I didn't have a CHECKED BAG. I had a CARRY-ON and was FORCED to go talk to an American Airlines employee at the counter (SUPER RUDE - ZERO CUSTOMER SERVICE). They watched me and 10 other people make a line for 45 minutes before even acknowledging us. Once I made it past TSA the experience just got worst. The AMERICAN AIRLINES staff at the gate E41 was not only sarcastic but very rude. Once I made it INSIDE the plane it kept getting worse. I flew with DELTA on my way to EUROPE. If i knew then that DELTA was so superior to AMERICAN AIRLINES I would have never booked this flight. You guys charge $30 for wifi - DELTA CHARGES ONLY $5. The staff on the AMERICAN AIRLINES flight was rude, inconsiderate, and unprofessional."
213,✅ Trip Verified | Once again there’s a delay. Every flight I’ve been on that’s been a problem. We even had to spend the night in a hotel due to aircraft issues. I’ve reached out each time to AA and have never been compensated with points or anything! Time to go back to Delta!!
214,"✅ Trip Verified |  To say I am disappointed in American Airlines is nothing but an understatement. My mom flew into the U.S from the U.K through Dublin on 6/17/24, 2 days ago and got all but two of the 6 bags she checked in at Heathrow. Upon her arrival here at DFW airport, she had to wait for 4 extra hours after traveling for over 8 hrs at the airport for her bags and she did not get them. We have since gotten a myriad of excuses from the incompetent staff members that have attended to us in person and over the phone to resolve this issue. We are totally displeased with the poor and extremely terrible service of a supervisor at the A.A desk at terminal A28 at the DFW airport. She gave us wrong bag tag numbers and lied that we will get the bags next day. Its over 48 hrs now and we have been given new tag numbers, we have been told the bags will arrive today the 19th, that the bags are in the Uk, that they are in dublin, that there is no details on them. Just a bunch of stupid, unimaginable and imbecilic excuses that makes no sense to a sane mind. This is the most excruciating experience I have had with any airline in my 40 yrs of life and I am beyond disappointed with American Airlines. "
215,"Not Verified | I have never in my life been spoken to on any airline ever the way an attendant spoke to me. It was so embarrasing to me to have her blurt out what the problem was. Yes I did have a pet carrier with me and it shouldve been under the seat, but she advertised it in such a loud horrible way that i was absolutely shocked how she went about the whole ordeal. She blurted out that it was against FAA law that pet carriers have to be under the seat which is acceptable and understandable, but the way she approached this could have been dealt in a less aggressive attitude. I am so appalled with her attitude that I will choose not to fly with this airline again. I am from New Zealand and have flown with this airline before and now I will tell everyone I know not to fly this carrier. Ive decided to cancel my advantage membership as well. She should have taken note of the other attendant who asked ""nicely"" to push it a little further under the seat. I mentioned to the old grumpy attendant she could’ve said it nicely and her angry reply was ""I did."" She also spoke like that to another passenger behind me. I heard Delta is a very good airline. I don’t care how much more I have to pay for any carrier, i wont be flying AA again and believe me I shall be searching out airline reviews online and ""spread the word"" about the atrocious treatment by this person. Its a shame one person can have such an effect on the entire airline. Just so sad!! Cabin service I would give 0."
216,"Not Verified |   Customer service 0/10. Literally don’t know anything, you should stop putting “contact us for further help” or anything along the lines of that if the agents literally just read what was emailed to the customer. Also, if you don’t have an account with them, expect even less."
217,"✅ Trip Verified |  This is by far the worst airline I've traveled with. Horrible customer service and flight attendants. Flights were postponed 3 times and then canceled. I am a cancer patient and they didn't want to accommodate me. They postponed a flight to Milwaukee the very last minute. It switched from 10:41 to 1:25am. This airline wouldn't rebook a different flight refused to give me my luggage and didn't want to reimburse me. So not only do I have to wait here for 3 hours, I'm also going to board a plane that's not in a good functioning condition (they will probably cancel it as usual-already happened 2 times on Friday when I was supposed to travel.  Stay away from them at all costs."
218,✅ Trip Verified |  I bought insurance on American. I had to cancel the flight and they didn’t refund me because my reason didn’t qualify. On another flight I wasn’t able to check in on phone. Got to airport 2 hours early and couldn’t check in at kiosk. Had to wait in main assistance line. By time I got to front was less than 40 minutes before flight and they said I couldn’t check in - re booked me for 6 hours later with no other options. Never flying American again. Go Southwest all day
219,Not Verified |   Too many delays it’s insane. I have picked 2 different flights and both are delayed. If your going to be delayed at least share the true reason once known to passengers awaiting the plane.
220,"Not Verified | American Airlines is a disgrace and I will never spend another dime on this poor excuse for an airline. The experience we- and hundreds of others- had at Charlotte Douglas Intl. yesterday was downright pathetic. Automatic check in kiosks malfunctioning leading to long lines (2.5 to 3 hrs wait time) at grossly understaffed gates leading to frustration, anger, missed flights, etc., etc., etc.... it was a disorganized disgrace, I have never seen paying customers treated so poorly. My wife ended up missing her flight, they were able to get her on another one which she made with minutes to spare, and now they've lost her luggage... so she's in Brazil with just the clothes on her back. AA you owe these people an apology. But I doubt one is forthcoming because based on what I witnessed yesterday you obviously don't care about your customers."
221,"Not Verified |   Weather delay in LGA caused us to depart 2 hours late. By the time we landed in DCA, it was 15 minutes past our connection flight departure for HSV. Evening flight, so there was surely nobody connecting in HSV. They could have held the flight 20-30 minutes to ensure we could get home on time. Nope! Attempted to use the American Airlines App Chat feature. Both agents I ended up chatting with were completely useless. Earliest flight they could get us on was two days later, with no options given. When we arrived at DCA, we had to retrieve our checked bag so we had clothes. The girl working baggage claim was super rude, first telling us that there was nothing she could do, then only after we pressed she rudely said carousel 12 in 30-60 minutes. Went back to report the luggage was damaged, she was still super rude. Finally was able to get customer service to get my family on a next day flight, while I was on standby. Understood about the weather, but American Airlines has proven they don’t care about their customers. I am ending my frequent flyer with American. I will stick with Delta or United who actually take care of their customers. "
222,"Not Verified |   I cannot even begin to describe the cruelty and shock that I’ve gone through in the past 36 hours at the hands of American Airlines. To start with, my flight to Miami was delayed due to weather issues in Miami. Upon arrival after a four hour delay where I missed my then connecting flight, I was told I would have to take a flight the next morning. No one offered any food vouchers or overnight accommodations because their policy apparently is that they won’t reimburse you for any weather related delays, I spent a sleepless and miserable night on the airport floor getting no sleep. Funny that the Miami airport doesn’t even have couches and you can’t even lay across chairs. Around 3 a.m,. a worker cleaning the floors with a loud vacuum cleaner literally vacuumed around the hundreds of bodies sprawled out on the floor. Around 6 a.m. I ""awoke"" to the news that my morning flight had been cancelled due to ""weather"" issues once again. Despite all the weather and flooding issues, other passengers were still getting out on various flights with American Airlines and other airlines which makes me suspect this was not completely weather related. At any rate, upon discovering that, I then spent the entire day standing in the customer rebooking lines for hours with other passengers in order to book a new flight out. I called the American Airlines customer service call center several times only to be told that the only way to rebook was in person with the rebooking center. After about 2.5 hrs in line, I made it to a desk agent who rudely explained to me that my only options were to be put on standby for an evening flight that day and a confirmed flight for 3 days out! Again, no food vouchers or overnight accommodations were permitted because the flight cancellation was due to ""weather"" issues. After leaving the line and trying to find a different flight and different destination, I finally found one. When I went to purchase it, it disappeared. After talking with other passengers, I discovered it was an issue with American Airlines website. So many people were trying to book new flights out online only to have the flights disappear as they were about to be purchased. I got in line a second time, this time for 3 and half hours. The line was super long and most of us stood there without food and water in order to maintain our places. Finally, after I got through the line again, the agent allowed me to book the new flight to a new destination for the next day. Despite my requests, no food vouchers or hotel accomodations were permitted. I had to book a hotel for $225 all at my own expense because American Airlines refused to lift a finger. Basically, I've been held prisoner for over 36 hours in this airport, being charged for food, water and my own overnight hotel. It surprises me they're not charging for oxygen at this point. I do not recommend flying with this airline ever! If you can avoid it (and also avoid Miami) at all costs, please do so for your own sanity and mental health."
223,"Not Verified |   My husband booked a ticket a month ago to come see me, and his first flight was cancelled due to weather. In order for us to book him another flight, we had to pay an extra $200 to fly him out a week later. The following week, he gets on his first flight and lands in DFW where he had what was supposed to be a couple hour layover. American Airlines delayed that flight several times with absolutely no explanation. At 2:45 AM the day after he was supposed to leave DFW, they cancelled the flight, again for no reason given. The line at the airport to try to rebook was backed up from one end of the hall to the other, and the phone line wait was 6-8 hours. We had to personally rebook him another flight for the next day on a different airline, from a different airport for $427. My husband and I called 20 different hotels and were lucky enough to find one room available 18 miles away for $275 for 8 hours. He then had to pay for a Lyft to pick him up from the airport to take him to the hotel and then from the hotel back to the airport. So we spent over $700 extra to get him here for only two days. We filed a reimbursement claim 3 different times with all receipts attached for them respond saying it was due to weather. However, the weather was clear that night because other flights leaving at the same time were taking off, not just at the time his was supposed take off, but each time his was delayed as well. We were not contacted by them until 3pm the following day. Even looking online, there were no more available flights until Saturday, June 1st. After several phone calls and emails in regards to this issue, they proceed to only offer him a $50 credit for his next flight. First of all, what is a $50 dollar credit going to do for us after having to spend an extra $700+ when that should have been at their expense, and second of all, what makes them think we would ever book a flight with them again? We have had to jump through so many hoops just for them to turn around showing they only care about themselves and not tarnishing their reputation. Never again will we book with American Airlines. Per their “CONTRACT OF CARRIAGE” Rebooking your delayed / canceled flight When your flight is canceled or a delay could cause you to miss your connection, we'll rebook you on the next American Airlines flight with available seats at no additional cost. If no American flights are available until the next day, and the disruption is caused by us, we’ll rebook you on one of our partner airlines with available seats at no additional cost. We’ll rebook you in your originally ticketed cabin or class with your original form of payment. Attached is a weather report for that night. If I could give zero stars in each category, I 100% would."
224,"Not Verified |   Worst airline by far, please I repeat please never fly with this company! A one hour delay turned into a almost 6 hour delay. Terminal employees misinform or are not informed themselves, the lack of professionalism in the we were rudely treated. Never again. "
225,Not Verified | Absolute garbage. They are worse than Spirit which says a lot. I heard time and time again that AA is awful. I just thought people were being dramatic until it happened to me.
226,"Not Verified | For the amount being charged to fly, planes should be an investment. Fly in a plane where the seats looked dirty, the ceiling drops water, there was no TVs and very little leg room for a being 5'4"". "
227,"Not Verified |   American Airlines is extremely unprofessional, and does not hold up to their words. My family and I had a flight from Grand Junction, CO to Dallas, TX. After that, we had a connecting flight to Paris, France. Our flight to Grand junction was delayed from 4:30pm to 6:00pm. Meaning as soon as we landed now we would miss our connecting flight to France. We rescheduled our flight to Paris before even leaving Grand Junction. The man who helped us over the phone told us to contact the agents when we landed in Dallas, and that they would give us vouchers for our inconvenience. When we landed, we talked to the agents there who turned us away (and many others). The agent, in quote told us, “This is an act of god, to put it legally.” Because of the weather, we were denied a free hotel we were promised, or any vouchers for that matter. Why were we told we would be provided with this when we were completely shut down? The agent at the counter also told us, “you can call this number to try to get a voucher, but they will just deny you.” American Airlines is extremely unprofessional, and even their employees know it. If you can avoid flying American, I would reccomend. They could atleast be more graceful with their mistakes."
228,"✅ Trip Verified |   I bought a 1st class round-trip ticket from Los Angeles to Raleigh, June 3, returning June 11th for a medical surgical trip to UNC with a wheelchair request. First leg was fine. Return trip though, it seemed that everything that could go wrong, did. At the American Airline departure counter in Raleigh, I checked in, and was told to wait for a wheelchair. 1 hour later, no wheelchair and with flight departure approaching, I forced myself to walk through TSA pre-check and to the gate. While walking to gate 25 departure gate, of course I walk past at least 2 wheelchair porters just casually walking somewhere, taking their sweet time. The flight service was ok (not good given 1st class). The food, we're offered two choices. One exotic sounding, and another a dish with eggs and cheese.  I chose some fancy breakfast name which I had no idea what it was and I got served gammy prosciutto ham, with a large side of raw almonds. You can imagine how upset I became eating almonds after face and neck surgery. I asked for a softer disk but their was nothing else...only processed chips, which I could not chew anyway. The larger point; $1,500 roundrip ticket to be served a bag of almonds. This is the last time I fly 1st class on AA and will probably back away from only flying this airline alone."
229,"✅ Trip Verified | Flew first class from Miami to Detroit. Had no TV/screens for entertainment No wifi was included - unless you wanted to watch a movie No meals were offered I was freezing the whole flight and they had no blankets or pillows. Not to mention the stewardess was extremely rude. Paid for first class and absolutely such a waste of money. I flew first class to Miami from Detroit on DELTA a few days prior Where I had free wifi Braised beef rib, salad and dessert Blanket, pillow and screens for entertainment Don't even waste your time flying American. You're better off flying Spirit or Frontier for the cost and amenities."
230,"✅ Trip Verified | They should change their name to “The Worst American Airline”, it would be more fitting. This is not my first time I’ve had an issue but the first time I’ve left a review. Our first flight was to Chicago was delayed past our departure time of our second flight to Punta Cana. No weather or anything in the area that would’ve caused it. This delay required us to push our flights to the following day, causing us to miss the first day of our vacation at a prepaid all-inclusive resort. Also, on top of that they wouldn’t sit my wife, 5 year old daughter, and I together…which I already paid extra for to pick our seats when booking. They said we’d need to spend several hundred more dollars to upgrade seats in order to sit together. This was on a flight that wasn’t full and multiple rows of the “upgraded” seats available. I reached out to customer service and even provided them with the new DOT rules regarding refunds and no additional costs for families to sit together, they basically told me that they weren’t doing anything about it. "
231,"Not Verified | First time flying this airline and it has been nothing but a headache. First arrive at Columbus airport to find out the flight is delayed. Make up time in the air due to the fact most of us have a connecting flight in Charlotte, NC. We arrive with 30 minutes to get to my connecting gate, at least I thought. Sat on the tarmac for over 30 minutes waiting for a gate to deboard at. Once we get the ok to move to the gate, my connecting AA flight has already taken off. Go to AA desk and the next flight is the next morning. They give me a hotel voucher and a 12.00 meal Voucher (that’s enough to buy a water) I have to wait 2 hours to get my bag back that they made me check due to the flight being a valet plane. I get to the hotel and it is so disgusting. The carpets in the hallways had several huge black stains, elevator was broke, no breakfast, the stench in room. Now today I fly back and what do you know my flight is delayed. I have 10 min to catch my connecting flight in Dallas. We shall see how this goes."
232,✅ Trip Verified |  Without a doubt the worst airline I fly with. I travel weekly for work and normally have to fly American Airlines per my company's request. Customer service is next level rude. Almost never have a flight where they don't mess up my check bags one way or another. Only airline I've ever seen that seems to purposely treat Retired Military like second class people. If they can't make an extra dollar off you they will absolutely do everything they can to get out of helping you in any way.
233,Not Verified |   After 2 delays due to plane issues they make up time in the air (great job) the we land and sit on the tarmac for 45 minutes. Due to a piece of equipment from the nose of the plane. We have to go through customs then get bags this took 25 minutes then we run to recheck in and the lady says we have to stand in line like everyone else there is literally 45 people on this flight being delayed to board the next flight. We were on 1723 from Cancun to Miami and we were supposed to be on 2552 from Miami to New Orleans. No one that worked for America Airlines even tried to help us in Miami. Sad cause I’ve have seen airline put these people up front so they can make there flight American did nothing but stand in line. This line took us over an hour. I would be embarrassed to say I worked for America Airlines at this point and chances are I will not fly these disrespectful unorganized people again.
234,"Not Verified |   No service. Unrecognizable food on the vegetable tray. Had to beg for coffee which was cold. Attendant was solo but never came around when seated or after meal, and sat out of view texting on phone. Is this the new normal?"
235,"Not Verified |   Total nightmare. My flight home was canceled after standing in the airport for over 8 hours with no updates. After they announced the cancelation, they then told us that we were on our own finding accommodations and that they were not giving vouchers. There were hundreds of passengers tossed on the streets of Providenciales to fend for themselves. I ended up paying $1200 for 1 night at a local resort, the only thing many of us could find. They told us at the airport that we would need to foot the bill then claim it. Then they wanted me to sit in Philadelphia waiting 8 hours for my connecting flight which was originally to take me to Buffalo NY. Well, after they rescheduled my flight, they wanted me to sit in Philly all day then fly to Charlottesville, NC to spend the night. That would have caused me to lose a 2nd day of work due to this fiasco. There were no vouchers offered so I would have had to pay for another hotel and transportation in my own. I finally made it home 2 days later. I am still fighting with this irresponsible airline to reimburse me for my accommodations in Provodenciales. They did this to hundreds of people and have shown no concern for making this right. I will never fly with them again. They lied and treated us terribly."
236,"Not Verified |   AA damaged my bag on 11 May when I arrived in Indianapolis from Austin, Texas. I retrieved my bag from the carousel and noticed it was busted on top. I took it to the customer service desk and they took my bag and gave me a case number along with a phone number to call after a week if no one had contacted me. I waited almost two weeks before calling. I spoke with a Rep about my bag replacement and they kept asking me to provide a receipt of purchase for a bag I bought over 9 months ago and to take a picture of the bag that was turned in to customer service. Then I was told someone from AA would reach out to me. Need I remind you my bag was damaged on 11 May and I have yet to receive a call or replacement bag since then. "
237,"✅ Trip Verified |  Will never fly American Airlines again.  Flying from IND via LAX to SFO. Checked in 24 hours before departure, all flights were shown as “on time”. On the day of departure, waking up to an automatic rebook to BOS, then to JFK, then to SFO a day later. Without any indication what we needed to do at JFK for 10 hours! Had to call a real agent, and after 29 minutes, the agent rebooked us onto Alaska airlines, arriving midnight. Yes we arrived at SFO at midnight instead of early evening. Now flying out of SFO back to IND via ORD. After security clearance, the flight status indicated a 23 minutes delay, then 25. Boarded, but they were not in a hurry. Still staying at the tarmac. Our flight from ORX to IND has a 50 minute connection time. Now we are going to miss the connection. The crew has no intention of closing the door. This is incredible. Will see what happens. After more than an hour the captain came online and told all that he could not fly because he’s clocked out and tired and safety was number 1, so he cancelled the flight. No ground crew is available so we were stuck on the airplane. Calling American’s 800 number and because I’m shown as in air, she was not able to rebook. Finally deplaned and waiting in line for the counter agent while calling. The agent on the phone can’t find any flight and asked me to wait at the counter. Not much a movement at the counter after another hour. After 2.5 hours the gate agent booked us on a different airline for tomorrow morning. I have to call out the rebooking agent. He was very helpful. Thank you David. Avoid this airline at all cost. Their senior management team needs to resign or cut their pay to compensate their crew."
238,✅ Trip Verified | American Airlines is an 8.8 billion dollar company that can’t figure out how to function. I fully believe there needs to be an investigation launched. They never get flights off the ground on time. They strand passengers in foreign countries. They cause people to miss work and sleep and do not care. Their staff are grossly underpaid and it shows in how uninterested they are in doing their jobs. They cost me two days of earned wages and left me with a pinched nerve in my neck. They told me to contact customer service for which I was on hold for SEVENTEEN HOURS. Do NOT fly AA. It is not worth it and they do not deserve a single penny more until they can pay competent staff. Pay a little more and actually get to your destination. I lost more money than I saved because of American Airlines.
239,"Not Verified |   Flew from Richmond to Charlotte headed to New Orleans. When I got off the plane, I realized I left my purse and told the attendant. She just stood there looking stupid. It took one of the oncoming Flight attendants to help me get them to check. Checked the wrong seat came back and said they didn't see it. Was adamant they check again and they found it. Flight from Richmond to New Orleans was delayed from 9pm to 5am! Asked for a full refund because I would miss my event. They did refund my money, put me in a roach motel and gave me a flight returning back home the next morning at 7. Morning Flight was delayed again. The customer service of the staff at the Charlotte Airport is trash! I will never fly with this airline again. Could use some refresher train for the crew at this location. Was headed to a memorial but due to the lack of organization of the crew, I would have missed it. Thank you American!"
240,"✅ Trip Verified |  I am an Active Duty Soldier and have never been so disrespected in my life. I flew from Atlanta to Dallas to pick up my son for the Summer. Our flight from Dallas back to Atlanta was suppose to departed at 1237 however, the flight kept getting delayed. I asked why the flight kept getting delayed and they said staffing. Around 1900 (almost 7 hours later) they cancelled the flight and lied and said it was because of weather. I asked for a hotel and food voucher and was told the flight was cancelled because of weather and that's not American Airlines fault so they won't give a voucher for anything. I explained to them I was told numerous times the flight was delayed because of staffing and they said I was lying. I asked to speak to a manger and she came and stated, ""I will not talk to anyone on the Atlanta flight"" and called the police. I asked to retrieve my son's bag and they said no I couldn't get the bag because it's too much work on the ground crew to give everyone their bags. I was rebooted on a flight for 1921 (7:21pm) the next day. I asked what am I supposed to do with my son in the airport for over 24 hours with none of our stuff and a staff member told me to be a better father. American Airlines refused to compensate the passengers for canceling the flight because they didn't have the staff for flight and lied and said it was cancelled because of weather. I spent so much money on feeding me and son (bored and tired of being in the airport) and had to spend $123 on a minute suite for 8 hours so my son felt safe while we slept. This is ridiculous and worse airline and customer service I ever experience. I understand things happen but assume responsibility and don't make your paying customer suffer. I will never purchase my own American Airline ticket."
